qid,display_index,page,set_id,cooldown_block,condition,condition_label,expected_accent,source_index,audio,audio_filename
Q016,16,4,4,2,gt_american,Original American samples,American,4,audio/Q016__gt_american__src04__placeholder.wav,Q016__gt_american__src04__placeholder.wav
Q017,17,4,4,2,gt_american,Original American samples,American,3,audio/Q017__gt_american__src03__placeholder.wav,Q017__gt_american__src03__placeholder.wav
Q018,18,4,4,2,seedvc_ame2spn,SeedVC converted: American to Spanish-accented English,Spanish-accented English,4,audio/Q018__seedvc_ame2spn__src04__placeholder.wav,Q018__seedvc_ame2spn__src04__placeholder.wav
Q019,19,4,4,2,gt_spanish,Original Spanish-accented English samples,Spanish-accented English,1,audio/Q019__gt_spanish__src01__placeholder.wav,Q019__gt_spanish__src01__placeholder.wav
Q020,20,4,4,2,seedvc_spn2ame,SeedVC converted: Spanish-accented English to American,American,5,audio/Q020__seedvc_spn2ame__src05__placeholder.wav,Q020__seedvc_spn2ame__src05__placeholder.wav
Q021,21,5,5,2,seedvc_spn2ame,SeedVC converted: Spanish-accented English to American,American,1,audio/Q021__seedvc_spn2ame__src01__placeholder.wav,Q021__seedvc_spn2ame__src01__placeholder.wav
Q022,22,5,5,2,gt_american,Original American samples,American,7,audio/Q022__gt_american__src07__placeholder.wav,Q022__gt_american__src07__placeholder.wav
Q023,23,5,5,2,seedvc_spn2ame,SeedVC converted: Spanish-accented English to American,American,6,audio/Q023__seedvc_spn2ame__src06__placeholder.wav,Q023__seedvc_spn2ame__src06__placeholder.wav
Q024,24,5,5,2,seedvc_spn2ame,SeedVC converted: Spanish-accented English to American,American,7,audio/Q024__seedvc_spn2ame__src07__placeholder.wav,Q024__seedvc_spn2ame__src07__placeholder.wav
Q025,25,5,5,2,seedvc_ame2spn,SeedVC converted: American to Spanish-accented English,Spanish-accented English,3,audio/Q025__seedvc_ame2spn__src03__placeholder.wav,Q025__seedvc_ame2spn__src03__placeholder.wav
Q026,26,6,6,2,phonos_ame2spn,PHONOS converted: American to Spanish-accented English,Spanish-accented English,7,audio/Q026__phonos_ame2spn__src07__placeholder.wav,Q026__phonos_ame2spn__src07__placeholder.wav
Q027,27,6,6,2,gt_spanish,Original Spanish-accented English samples,Spanish-accented English,7,audio/Q027__gt_spanish__src07__placeholder.wav,Q027__gt_spanish__src07__placeholder.wav
Q028,28,6,6,2,gt_spanish,Original Spanish-accented English samples,Spanish-accented English,9,audio/Q028__gt_spanish__src09__placeholder.wav,Q028__gt_spanish__src09__placeholder.wav
Q029,29,6,6,2,gt_spanish,Original Spanish-accented English samples,Spanish-accented English,5,audio/Q029__gt_spanish__src05__placeholder.wav,Q029__gt_spanish__src05__placeholder.wav
Q030,30,6,6,2,phonos_ame2spn,PHONOS converted: American to Spanish-accented English,Spanish-accented English,10,audio/Q030__phonos_ame2spn__src10__placeholder.wav,Q030__phonos_ame2spn__src10__placeholder.wav
Q031,31,7,7,3,gt_american,Original American samples,American,8,audio/Q031__gt_american__src08__placeholder.wav,Q031__gt_american__src08__placeholder.wav
Q032,32,7,7,3,seedvc_spn2ame,SeedVC converted: Spanish-accented English to American,American,8,audio/Q032__seedvc_spn2ame__src08__placeholder.wav,Q032__seedvc_spn2ame__src08__placeholder.wav
Q033,33,7,7,3,seedvc_ame2spn,SeedVC converted: American to Spanish-accented English,Spanish-accented English,9,audio/Q033__seedvc_ame2spn__src09__placeholder.wav,Q033__seedvc_ame2spn__src09__placeholder.wav
Q034,34,7,7,3,phonos_ame2spn,PHONOS converted: American to Spanish-accented English,Spanish-accented English,5,audio/Q034__phonos_ame2spn__src05__placeholder.wav,Q034__phonos_ame2spn__src05__placeholder.wav
Q035,35,7,7,3,phonos_spn2ame,PHONOS converted: Spanish-accented English to American,American,1,audio/Q035__phonos_spn2ame__src01__placeholder.wav,Q035__phonos_spn2ame__src01__placeholder.wav
Q036,36,8,8,3,gt_american,Original American samples,American,1,audio/Q036__gt_american__src01__placeholder.wav,Q036__gt_american__src01__placeholder.wav
Q037,37,8,8,3,gt_spanish,Original Spanish-accented English samples,Spanish-accented English,3,audio/Q037__gt_spanish__src03__placeholder.wav,Q037__gt_spanish__src03__placeholder.wav
Q038,38,8,8,3,seedvc_ame2spn,SeedVC converted: American to Spanish-accented English,Spanish-accented English,10,audio/Q038__seedvc_ame2spn__src10__placeholder.wav,Q038__seedvc_ame2spn__src10__placeholder.wav
Q039,39,8,8,3,seedvc_ame2spn,SeedVC converted: American to Spanish-accented English,Spanish-accented English,2,audio/Q039__seedvc_ame2spn__src02__placeholder.wav,Q039__seedvc_ame2spn__src02__placeholder.wav
Q040,40,8,8,3,gt_spanish,Original Spanish-accented English samples,Spanish-accented English,6,audio/Q040__gt_spanish__src06__placeholder.wav,Q040__gt_spanish__src06__placeholder.wav
Q041,41,9,9,3,seedvc_spn2ame,SeedVC converted: Spanish-accented English to American,American,9,audio/Q041__seedvc_spn2ame__src09__placeholder.wav,Q041__seedvc_spn2ame__src09__placeholder.wav
Q042,42,9,9,3,seedvc_ame2spn,SeedVC converted: American to Spanish-accented English,Spanish-accented English,7,audio/Q042__seedvc_ame2spn__src07__placeholder.wav,Q042__seedvc_ame2spn__src07__placeholder.wav
Q043,43,9,9,3,seedvc_ame2spn,SeedVC converted: American to Spanish-accented English,Spanish-accented English,1,audio/Q043__seedvc_ame2spn__src01__placeholder.wav,Q043__seedvc_ame2spn__src01__placeholder.wav
Q044,44,9,9,3,phonos_spn2ame,PHONOS converted: Spanish-accented English to American,American,4,audio/Q044__phonos_spn2ame__src04__placeholder.wav,Q044__phonos_spn2ame__src04__placeholder.wav
Q045,45,9,9,3,phonos_ame2spn,PHONOS converted: American to Spanish-accented English,Spanish-accented English,6,audio/Q045__phonos_ame2spn__src06__placeholder.wav,Q045__phonos_ame2spn__src06__placeholder.wav
Q046,46,10,10,4,gt_spanish,Original Spanish-accented English samples,Spanish-accented English,2,audio/Q046__gt_spanish__src02__placeholder.wav,Q046__gt_spanish__src02__placeholder.wav
Q047,47,10,10,4,gt_spanish,Original Spanish-accented English samples,Spanish-accented English,4,audio/Q047__gt_spanish__src04__placeholder.wav,Q047__gt_spanish__src04__placeholder.wav
Q048,48,10,10,4,phonos_ame2spn,PHONOS converted: American to Spanish-accented English,Spanish-accented English,1,audio/Q048__phonos_ame2spn__src01__placeholder.wav,Q048__phonos_ame2spn__src01__placeholder.wav
Q049,49,10,10,4,gt_american,Original American samples,American,5,audio/Q049__gt_american__src05__placeholder.wav,Q049__gt_american__src05__placeholder.wav
Q050,50,10,10,4,phonos_spn2ame,PHONOS converted: Spanish-accented English to American,American,7,audio/Q050__phonos_spn2ame__src07__placeholder.wav,Q050__phonos_spn2ame__src07__placeholder.wav
Q051,51,11,11,4,seedvc_spn2ame,SeedVC converted: Spanish-accented English to American,American,2,audio/Q051__seedvc_spn2ame__src02__placeholder.wav,Q051__seedvc_spn2ame__src02__placeholder.wav
Q052,52,11,11,4,gt_spanish,Original Spanish-accented English samples,Spanish-accented English,8,audio/Q052__gt_spanish__src08__placeholder.wav,Q052__gt_spanish__src08__placeholder.wav
Q053,53,11,11,4,seedvc_spn2ame,SeedVC converted: Spanish-accented English to American,American,3,audio/Q053__seedvc_spn2ame__src03__placeholder.wav,Q053__seedvc_spn2ame__src03__placeholder.wav
Q054,54,11,11,4,seedvc_spn2ame,SeedVC converted: Spanish-accented English to American,American,4,audio/Q054__seedvc_spn2ame__src04__placeholder.wav,Q054__seedvc_spn2ame__src04__placeholder.wav
Q055,55,11,11,4,seedvc_spn2ame,SeedVC converted: Spanish-accented English to American,American,10,audio/Q055__seedvc_spn2ame__src10__placeholder.wav,Q055__seedvc_spn2ame__src10__placeholder.wav
Q056,56,12,12,4,phonos_spn2ame,PHONOS converted: Spanish-accented English to American,American,2,audio/Q056__phonos_spn2ame__src02__placeholder.wav,Q056__phonos_spn2ame__src02__placeholder.wav
Q057,57,12,12,4,phonos_ame2spn,PHONOS converted: American to Spanish-accented English,Spanish-accented English,8,audio/Q057__phonos_ame2spn__src08__placeholder.wav,Q057__phonos_ame2spn__src08__placeholder.wav
Q058,58,12,12,4,gt_spanish,Original Spanish-accented English samples,Spanish-accented English,10,audio/Q058__gt_spanish__src10__placeholder.wav,Q058__gt_spanish__src10__placeholder.wav
Q059,59,12,12,4,seedvc_ame2spn,SeedVC converted: American to Spanish-accented English,Spanish-accented English,8,audio/Q059__seedvc_ame2spn__src08__placeholder.wav,Q059__seedvc_ame2spn__src08__placeholder.wav
Q060,60,12,12,4,gt_american,Original American samples,American,6,audio/Q060__gt_american__src06__placeholder.wav,Q060__gt_american__src06__placeholder.wav
