sample_group_id,sample_id,direction,direction_display,condition,condition_display,expected_accent,audio,audio_url,duration_sec,sample_rate_hz,channels,sha256,source_id,utterance_id
ame2bri_S06,S06,ame2bri,American to British,original,Original,american,audio/ame2bri/S06__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S06__original.wav,6.61,16000,1,08844bfb979ce8240f332032a4b86bed89703dcdb0379087e9747db278eb60dd,AME012,1089-134686-0025
ame2bri_S06,S06,ame2bri,American to British,phonos,PHONOS,british,audio/ame2bri/S06__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S06__phonos.wav,6.62,16000,1,5e64660be9edfc424f711515719ff7529a7e556c28443be2d3a1bff0e028a607,AME012,1089-134686-0025
ame2bri_S06,S06,ame2bri,American to British,seedvc,SeedVC,british,audio/ame2bri/S06__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S06__seedvc.wav,6.896326530612245,22050,1,e48ed799fdee0f976eb2b5c7d78f9077a27267de2890df59814e36263f283c96,AME012,1089-134686-0025
ame2bri_S06,S06,ame2bri,American to British,tvtsyn_reconstruction,TVTSyn Reconstruction,american,audio/ame2bri/S06__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S06__tvtsyn_reconstruction.wav,6.62,16000,1,0e05b346ea041d154beb4af86d24d12a56c9280ed5671225b9b223a7bf76202d,AME012,1089-134686-0025
ame2bri_S07,S07,ame2bri,American to British,original,Original,american,audio/ame2bri/S07__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S07__original.wav,6.285,16000,1,8e77c3802c363ee0d0acbbb5f579396b028d31edee1e06162abb800140425fa0,AME014,1284-1180-0009
ame2bri_S07,S07,ame2bri,American to British,phonos,PHONOS,british,audio/ame2bri/S07__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S07__phonos.wav,6.3,16000,1,25f69e047d04145028e1d1d56e5720fc1eea98b909ef60a4fb8b4353a8f72b33,AME014,1284-1180-0009
ame2bri_S07,S07,ame2bri,American to British,seedvc,SeedVC,british,audio/ame2bri/S07__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S07__seedvc.wav,6.15328798185941,22050,1,42346e1de42ebe59e74ea7f389658ac654d0d911b5429621ba602461faa7df10,AME014,1284-1180-0009
ame2bri_S07,S07,ame2bri,American to British,tvtsyn_reconstruction,TVTSyn Reconstruction,american,audio/ame2bri/S07__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S07__tvtsyn_reconstruction.wav,6.3,16000,1,29eaa25608ad22b54ed2d25073f17f33fe4d618b92c8a95bb3b890f324b01316,AME014,1284-1180-0009
ame2bri_S08,S08,ame2bri,American to British,original,Original,american,audio/ame2bri/S08__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S08__original.wav,8.23,16000,1,b32d2f28c39ad5e98d4b1ed30b4d06e1a03de5ee0e08f61bbe988868a123d173,AME027,1320-122617-0019
ame2bri_S08,S08,ame2bri,American to British,phonos,PHONOS,british,audio/ame2bri/S08__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S08__phonos.wav,8.24,16000,1,8381ba021a68e06de96fb78d3f0be92b4cd312789e2a6069f96cf768f8271d26,AME027,1320-122617-0019
ame2bri_S08,S08,ame2bri,American to British,seedvc,SeedVC,british,audio/ame2bri/S08__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S08__seedvc.wav,8.092154195011338,22050,1,85d01dfc077c58a9bf3be5be29a2f0ed9a35de9ce2844eede84a7cd8e2fc45bd,AME027,1320-122617-0019
ame2bri_S08,S08,ame2bri,American to British,tvtsyn_reconstruction,TVTSyn Reconstruction,american,audio/ame2bri/S08__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S08__tvtsyn_reconstruction.wav,8.24,16000,1,378ec479c6322a5207e311e42ab09d3cd34aa89605a71969231900be65d3dac6,AME027,1320-122617-0019
ame2bri_S09,S09,ame2bri,American to British,original,Original,american,audio/ame2bri/S09__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S09__original.wav,8.7,16000,1,c1335f186faf81f3f2b582175cd773e510f2bbdf52f2f68d631e71232305c102,AME029,2086-149220-0017
ame2bri_S09,S09,ame2bri,American to British,phonos,PHONOS,british,audio/ame2bri/S09__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S09__phonos.wav,8.7,16000,1,d779c353fe20af59b9ed0c9d4499ece2d5c893840a0250e677330f226eeca28d,AME029,2086-149220-0017
ame2bri_S09,S09,ame2bri,American to British,seedvc,SeedVC,british,audio/ame2bri/S09__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S09__seedvc.wav,8.835192743764173,22050,1,824f3f76e00be3f0e505e9f0d53fb4c3faa77f717ed5c0487e858a43c8678f78,AME029,2086-149220-0017
ame2bri_S09,S09,ame2bri,American to British,tvtsyn_reconstruction,TVTSyn Reconstruction,american,audio/ame2bri/S09__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S09__tvtsyn_reconstruction.wav,8.7,16000,1,005ed03d7b3f139392ab5a07a7c36c26be8a563d601154326fdcfbc6b3dff19b,AME029,2086-149220-0017
ame2bri_S10,S10,ame2bri,American to British,original,Original,american,audio/ame2bri/S10__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S10__original.wav,7.75,16000,1,7c482935e9727bbe51038292cebeec8a799217e0f3655b335401d8f25bbc3a2d,AME035,5338-284437-0031
ame2bri_S10,S10,ame2bri,American to British,phonos,PHONOS,british,audio/ame2bri/S10__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S10__phonos.wav,7.76,16000,1,cab76493b261f51dd6fe4fe08dfc233bd456312f198849bc83c3ac693df2afb2,AME035,5338-284437-0031
ame2bri_S10,S10,ame2bri,American to British,seedvc,SeedVC,british,audio/ame2bri/S10__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S10__seedvc.wav,7.174965986394557,22050,1,c91e9dfcefc20b0e7cda649b403db3dce8c2b89028bdb23b6e28d405e2b2c898,AME035,5338-284437-0031
ame2bri_S10,S10,ame2bri,American to British,tvtsyn_reconstruction,TVTSyn Reconstruction,american,audio/ame2bri/S10__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S10__tvtsyn_reconstruction.wav,7.76,16000,1,2291d40dbd7934ce73497a74bf1d5f5a8cc8711bb9779d2f4067a26c59d3e4ac,AME035,5338-284437-0031
ame2ind_S01,S01,ame2ind,American to Indian,original,Original,american,audio/ame2ind/S01__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S01__original.wav,5.31,16000,1,1c2c3eb9675d312c8c2918c2ee9e191a01f42c767cd9fb141bc868aa8fe86b3f,AME001,251-118436-0005
ame2ind_S01,S01,ame2ind,American to Indian,phonos,PHONOS,indian,audio/ame2ind/S01__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S01__phonos.wav,5.32,16000,1,4b0f25fc5c66b30ed6b08b43a4af0f127d118aa9452308862b74840ca583d347,AME001,251-118436-0005
ame2ind_S01,S01,ame2ind,American to Indian,seedvc,SeedVC,indian,audio/ame2ind/S01__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S01__seedvc.wav,5.154829931972789,22050,1,1a7aa2c6e0f35fa434f38f5431b157e3bbbcb93001f168134455b659c699dd62,AME001,251-118436-0005
ame2ind_S01,S01,ame2ind,American to Indian,tvtsyn_reconstruction,TVTSyn Reconstruction,american,audio/ame2ind/S01__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S01__tvtsyn_reconstruction.wav,5.32,16000,1,5dfa2b6e6f86b66a8e11f2e0adf7eb9d663afc9310a46f86e4576c89625112ae,AME001,251-118436-0005
ame2ind_S02,S02,ame2ind,American to Indian,original,Original,american,audio/ame2ind/S02__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S02__original.wav,6.585,16000,1,7ba57c7f53560bacc99ae3cf19fcfefac8825f083b68464143a3acd09717fb60,AME008,5694-64029-0007
ame2ind_S02,S02,ame2ind,American to Indian,phonos,PHONOS,indian,audio/ame2ind/S02__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S02__phonos.wav,6.6,16000,1,38ab2f3ae762d38cfc3f0db817a41241d562c9a2728237d51ef8dec52c9f4e29,AME008,5694-64029-0007
ame2ind_S02,S02,ame2ind,American to Indian,seedvc,SeedVC,indian,audio/ame2ind/S02__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S02__seedvc.wav,7.082086167800454,22050,1,7e7a40e7c6484aa9edca24516ee8e76033ab6ab17794603de39d46ad39904c76,AME008,5694-64029-0007
ame2ind_S02,S02,ame2ind,American to Indian,tvtsyn_reconstruction,TVTSyn Reconstruction,american,audio/ame2ind/S02__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S02__tvtsyn_reconstruction.wav,6.6,16000,1,bdc6567091591ca7e8b4e17896c1880c48b71d217e79f5c72c0452b38d20830f,AME008,5694-64029-0007
ame2ind_S03,S03,ame2ind,American to Indian,original,Original,american,audio/ame2ind/S03__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S03__original.wav,6.635,16000,1,4a2ddfdfd71a7d3acbb0e520a9d5c6f0f55bc6bff814ffe147ae9175a98fb625,AME009,1272-141231-0026
ame2ind_S03,S03,ame2ind,American to Indian,phonos,PHONOS,indian,audio/ame2ind/S03__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S03__phonos.wav,6.64,16000,1,839885f361991ca14836c47aaa678ac88ba7fedd97df44c902ec273bcbd3ad98,AME009,1272-141231-0026
ame2ind_S03,S03,ame2ind,American to Indian,seedvc,SeedVC,indian,audio/ame2ind/S03__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S03__seedvc.wav,6.582857142857143,22050,1,bf6d9903107e401c28df0a930c9fc0e3604b980fc4972dc62a56219f87885966,AME009,1272-141231-0026
ame2ind_S03,S03,ame2ind,American to Indian,tvtsyn_reconstruction,TVTSyn Reconstruction,american,audio/ame2ind/S03__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S03__tvtsyn_reconstruction.wav,6.64,16000,1,4abaa31bbaef684e9f4113fd49081b071f6176442261c7d505592f42fc9266d6,AME009,1272-141231-0026
ame2ind_S04,S04,ame2ind,American to Indian,original,Original,american,audio/ame2ind/S04__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S04__original.wav,6.61,16000,1,08844bfb979ce8240f332032a4b86bed89703dcdb0379087e9747db278eb60dd,AME012,1089-134686-0025
ame2ind_S04,S04,ame2ind,American to Indian,phonos,PHONOS,indian,audio/ame2ind/S04__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S04__phonos.wav,6.62,16000,1,49b4c5eb94c209df7a6a35d8c705ae3e37d7a5280e8d0a8e89904102d7bd5689,AME012,1089-134686-0025
ame2ind_S04,S04,ame2ind,American to Indian,seedvc,SeedVC,indian,audio/ame2ind/S04__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S04__seedvc.wav,7.198185941043084,22050,1,9c73e78c0c8c1d301f127e860e31ffb062f9f6c478fd3336d8c162c24e050168,AME012,1089-134686-0025
ame2ind_S04,S04,ame2ind,American to Indian,tvtsyn_reconstruction,TVTSyn Reconstruction,american,audio/ame2ind/S04__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S04__tvtsyn_reconstruction.wav,6.62,16000,1,0e05b346ea041d154beb4af86d24d12a56c9280ed5671225b9b223a7bf76202d,AME012,1089-134686-0025
ame2ind_S05,S05,ame2ind,American to Indian,original,Original,american,audio/ame2ind/S05__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S05__original.wav,5.71,16000,1,4e7e2642d8f4dd4593fcafe4adc22024e6fd9ddab005f4deff0e41b1e94b665f,AME026,2428-83699-0007
ame2ind_S05,S05,ame2ind,American to Indian,phonos,PHONOS,indian,audio/ame2ind/S05__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S05__phonos.wav,5.72,16000,1,859727c0b79021b2d2028280c3c3f6c6a7fcb995250ee37b48ffc789c53c88de,AME026,2428-83699-0007
ame2ind_S05,S05,ame2ind,American to Indian,seedvc,SeedVC,indian,audio/ame2ind/S05__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S05__seedvc.wav,5.410249433106576,22050,1,70cfe34386f5e916828afab74b5bdc887fcbf713a3e0ba8855811aec99faa0f8,AME026,2428-83699-0007
ame2ind_S05,S05,ame2ind,American to Indian,tvtsyn_reconstruction,TVTSyn Reconstruction,american,audio/ame2ind/S05__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S05__tvtsyn_reconstruction.wav,5.72,16000,1,c6a13b6c16a8e4271445a59e7225ff021a783b1f1fc8b0cc23b99934d08381d6,AME026,2428-83699-0007
ame2ind_S06,S06,ame2ind,American to Indian,original,Original,american,audio/ame2ind/S06__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S06__original.wav,6.285,16000,1,8e77c3802c363ee0d0acbbb5f579396b028d31edee1e06162abb800140425fa0,AME014,1284-1180-0009
ame2ind_S06,S06,ame2ind,American to Indian,phonos,PHONOS,indian,audio/ame2ind/S06__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S06__phonos.wav,6.3,16000,1,6035f383ab940792a1fa657e9a6a3f5ea6fc38d2b2558fbe8a228c99f9ae3e5e,AME014,1284-1180-0009
ame2ind_S06,S06,ame2ind,American to Indian,seedvc,SeedVC,indian,audio/ame2ind/S06__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S06__seedvc.wav,6.733786848072563,22050,1,80a5254cc265add8f4eb290e7a010f664e64d70fef18656aa8e67db9062a579f,AME014,1284-1180-0009
ame2ind_S06,S06,ame2ind,American to Indian,tvtsyn_reconstruction,TVTSyn Reconstruction,american,audio/ame2ind/S06__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S06__tvtsyn_reconstruction.wav,6.3,16000,1,29eaa25608ad22b54ed2d25073f17f33fe4d618b92c8a95bb3b890f324b01316,AME014,1284-1180-0009
ame2ind_S07,S07,ame2ind,American to Indian,original,Original,american,audio/ame2ind/S07__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S07__original.wav,8.83,16000,1,e24c561130110cfd17b0d434747193ee2089beebaefee240c41b2dac6f25ead4,AME022,3752-4943-0000
ame2ind_S07,S07,ame2ind,American to Indian,phonos,PHONOS,indian,audio/ame2ind/S07__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S07__phonos.wav,8.84,16000,1,49cc499ff6aca1fdacd02b02f6adb74239b6b219979eecd6cb0b10e9d04c2a44,AME022,3752-4943-0000
ame2ind_S07,S07,ame2ind,American to Indian,seedvc,SeedVC,indian,audio/ame2ind/S07__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S07__seedvc.wav,9.32281179138322,22050,1,dbaf2db3bcecbaf96c6ed70e60bfacfc7dea57bf43b5832c2887c73b6614fff9,AME022,3752-4943-0000
ame2ind_S07,S07,ame2ind,American to Indian,tvtsyn_reconstruction,TVTSyn Reconstruction,american,audio/ame2ind/S07__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S07__tvtsyn_reconstruction.wav,8.84,16000,1,2d17a90de29c90b991e5a37183cccd4d819d2f0e64b3adeed659677ad20bdbb4,AME022,3752-4943-0000
ame2ind_S08,S08,ame2ind,American to Indian,original,Original,american,audio/ame2ind/S08__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S08__original.wav,8.23,16000,1,b32d2f28c39ad5e98d4b1ed30b4d06e1a03de5ee0e08f61bbe988868a123d173,AME027,1320-122617-0019
ame2ind_S08,S08,ame2ind,American to Indian,phonos,PHONOS,indian,audio/ame2ind/S08__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S08__phonos.wav,8.24,16000,1,34eef5045fcb90a94c1c582eb55d4a0c69672e911d679c4d01102b805f6b4d2e,AME027,1320-122617-0019
ame2ind_S08,S08,ame2ind,American to Indian,seedvc,SeedVC,indian,audio/ame2ind/S08__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S08__seedvc.wav,8.289523809523809,22050,1,5d4ef6e69ea7bd25af0f5f5f8ad8dc4eca96379c6ff5af7aa5160864038a4e59,AME027,1320-122617-0019
ame2ind_S08,S08,ame2ind,American to Indian,tvtsyn_reconstruction,TVTSyn Reconstruction,american,audio/ame2ind/S08__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S08__tvtsyn_reconstruction.wav,8.24,16000,1,378ec479c6322a5207e311e42ab09d3cd34aa89605a71969231900be65d3dac6,AME027,1320-122617-0019
ame2ind_S09,S09,ame2ind,American to Indian,original,Original,american,audio/ame2ind/S09__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S09__original.wav,9.03,16000,1,2e0aeeb22538f04e3c5c89317fc9b7392c62ffda494d54f6e507f654f284a1bf,AME028,7021-85628-0023
ame2ind_S09,S09,ame2ind,American to Indian,phonos,PHONOS,indian,audio/ame2ind/S09__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S09__phonos.wav,9.04,16000,1,69f7293f3bef5bf65f5219afd2f3f744bf810a7f220cca034922d9563cb2aeba,AME028,7021-85628-0023
ame2ind_S09,S09,ame2ind,American to Indian,seedvc,SeedVC,indian,audio/ame2ind/S09__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S09__seedvc.wav,9.636281179138322,22050,1,b3db5a9aad440043304be64208749c00ba97d6a4c85302aa59bb69c284538cc2,AME028,7021-85628-0023
ame2ind_S09,S09,ame2ind,American to Indian,tvtsyn_reconstruction,TVTSyn Reconstruction,american,audio/ame2ind/S09__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2ind/S09__tvtsyn_reconstruction.wav,9.04,16000,1,74c38e3151275d063af982ef4d3f960aea672a36386117bff0ca5eb4884feb15,AME028,7021-85628-0023
